accession	taxid	species_name	assembly_level	method	sequencing_technology	submission_date	number_of_contigs	number_of_scaffolds	contig_n50	scaffold_n50
GCA_004027835.1	30589	Alouatta palliata	Scaffold	DISCOVAR de novo v. discovardenovo-52488	Illumina HiSeq	2017-09-20T15:31:11.280	1152695	1136565	51304	72427
GCA_004027475.1	27642	Anoura caudifer	Scaffold	DISCOVAR de novo v. discovardenovo-52488	Illumina HiSeq	2017-09-20T15:31:11.233	341895	337255	143417	185021
GCA_004027875.1	51342	Aplodontia rufa	Scaffold	DISCOVAR de novo v. discovardenovo-52488	Illumina HiSeq	2017-09-20T15:31:11.293	1286779	1279526	33245	37811
GCA_004027495.1	59527	Beatragus hunteri	Scaffold	DISCOVAR de novo v. discovardenovo-52488	Illumina HiSeq	2017-09-20T15:31:11.780	545176	535889	57444	69303
GCA_004027775.1	9355	Bradypus variegatus	Scaffold	DISCOVAR de novo v. discovardenovo-52488	Illumina HiSeq	2017-09-20T15:31:11.570	1772267	1771805	1900	1900
GCA_004027915.1	34842	Capromys pilorides	Scaffold	DISCOVAR de novo v. discovardenovo-52488	Illumina HiSeq	2017-09-20T15:31:11.797	2355850	2352358	4080	4081
GCA_004027735.1	40233	Carollia perspicillata	Scaffold	DISCOVAR de novo v. discovardenovo-52488	Illumina HiSeq	2017-09-20T15:31:11.587	1929203	1925339	10341	10739
GCA_004024745.2	51154	Catagonus wagneri	Scaffold	Discovar de novo v. 52489 + Dovetail HiC	Illumina HiSeq	2017-09-20T15:31:11.820	1240743	1183730	65965	19204659
GCA_004027695.1	143287	Cavia tschudii	Scaffold	DISCOVAR de novo v. discovardenovo-52488	Illumina HiSeq	2017-09-20T15:31:10.970	1379500	1368179	64807	91436
GCA_004027955.1	340076	Chaetophractus vellerosus	Scaffold	DISCOVAR de novo v. discovardenovo-52488	Illumina HiSeq	2017-09-20T15:31:11.887	7680080	7677333	1606	1606
GCA_004027555.1	208972	Craseonycteris thonglongyai	Scaffold	DISCOVAR de novo v. discovardenovo-52488	Illumina HiSeq	2017-09-20T15:31:11.323	1230480	1224256	23218	25762
