Assembly Accession      Assembly Name   Organism Name   Annotation Name Assembly Stats Total Sequence Length    Assembly Stats Total Number of Chromosomes      Assembly Stats Number of Contigs        Assembly Level  Assembly Release Date   Assembly Stats Contig N50       Assembly Stats Scaffold N50     Assembly Stats Number of Scaffolds      Assembly Stats GC Percent       Assembly Sequencing Tech        Assembly Submitter
GCA_025773925.1	ASM2577392v1	Cryptomyrus ogoouensis		738166476		88503	Scaffold	2022-10-20	15501	25488992	18584	44	Illumina	IRIDIAN GENOMES
GCA_033439825.1	ASM3343982v1	Todiramphus cinnamominus		1162854659		178612	Scaffold	2023-11-08	26668	60279	138582	42	Illumina	IRIDIAN GENOMES
GCA_027560215.1	ASM2756021v1	Halcyon smyrnensis		1151795822		155876	Scaffold	2023-01-03	40489	73174	133435	42	Illumina	IRIDIAN GENOMES
GCA_028565915.1	ASM2856591v1	Momotus momota		1123667048		105150	Scaffold	2023-02-09	36015	73373	68046	42.5	Illumina	IRIDIAN GENOMES
GCA_027560335.1	ASM2756033v1	Halcyon badia		1169930034		212039	Scaffold	2023-01-03	28559	62682	175224	42	Illumina	IRIDIAN GENOMES
GCA_024582635.1	ASM2458263v1	Todiramphus saurophagus		1202724839		284483	Scaffold	2022-08-06	28140	60961	249179	42	Illumina	IRIDIAN GENOMES
GCA_027560015.1	ASM2756001v1	Chloroceryle amazona		1110454235		230847	Scaffold	2023-01-03	27367	60666	193609	42	Illumina	IRIDIAN GENOMES
GCA_024499975.1	ASM2449997v1	Halcyon malimbica		1164777306		176259	Scaffold	2022-08-01	26796	63048	138005	42	Illumina	IRIDIAN GENOMES
GCA_027560235.1	ASM2756023v1	Halcyon leucocephala		1261864246		481729	Scaffold	2023-01-03	25802	58613	440410	42	Illumina	IRIDIAN GENOMES
GCA_024611175.1	ASM2461117v1	Megaceryle torquata		1183465244		245832	Scaffold	2022-08-10	25780	65212	199113	41.5	Illumina	IRIDIAN GENOMES
GCA_027564115.1	ASM2756411v1	Ceyx argentatus		971617043		150556	Scaffold	2023-01-03	24334	60694	117399	42.5	Illumina	IRIDIAN GENOMES
GCA_024605025.1	ASM2460502v1	Megaceryle maxima		1177829103		227457	Scaffold	2022-08-09	24088	61611	180495	41.5	Illumina	IRIDIAN GENOMES
GCA_024611195.1	ASM2461119v1	Ceyx melanurus		933633403		189081	Scaffold	2022-08-10	22257	50684	154787	42.5	Illumina	IRIDIAN GENOMES
GCA_025762695.1	ASM2576269v1	Merops pusillus		942069649		92368	Scaffold	2022-10-19	21654	56230	54819	42.5	Illumina	IRIDIAN GENOMES
GCA_025773905.1	ASM2577390v1	Chitala chitala		693901540		71652	Scaffold	2022-10-20	19667	39028	49463	41.5	Illumina	IRIDIAN GENOMES
GCA_033439905.1	ASM3343990v1	Ceryle rudis		1158257064		241963	Scaffold	2023-11-08	19496	54687	187344	42	Illumina	IRIDIAN GENOMES
GCA_027560355.1	ASM2756035v1	Halcyon chelicuti		1190389089		273952	Scaffold	2023-01-03	19347	57284	218991	42.5	Illumina	IRIDIAN GENOMES
