accession	taxid	species_name	assembly_level	method	sequencing_technology	submission_date	number_of_contigs	number_of_scaffolds	contig_n50	scaffold_n50
GCA_025773925.1	1736032	Cryptomyrus ogoouensis	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-12T18:23:04.183	88503	18584	15501	25488992
GCA_033439825.1	1006542	Todiramphus cinnamominus	Scaffold	SPAdes v. 2019	Illumina	2019-10-16T14:48:04.720	178612	138582	26668	60279
GCA_027560215.1	1003843	Halcyon smyrnensis	Scaffold	SPAdes v. 2021	Illumina	2019-09-24T16:13:59.770	155876	133435	40489	73174
GCA_028565915.1	57426	Momotus momota	Scaffold	SPAdes v. 2021	Illumina	2019-09-25T14:51:04.516	105150	68046	36015	73373
GCA_027560335.1	325331	Halcyon badia	Scaffold	SPAdes v. 2021	Illumina	2019-09-26T12:30:03.860	212039	175224	28559	62682
GCA_024582635.1	1651851	Todiramphus saurophagus	Scaffold	SPAdes v. 2021	Illumina	2019-10-16T14:52:04.246	284483	249179	28140	60961
GCA_027560015.1	342361	Chloroceryle amazona	Scaffold	SPAdes v. 2021	Illumina	2019-09-26T13:55:07.680	230847	193609	27367	60666
GCA_024499975.1	170866	Halcyon malimbica	Scaffold	SPAdes v. 2021	Illumina	2019-09-24T16:11:19.773	176259	138005	26796	63048
GCA_027560235.1	325332	Halcyon leucocephala	Scaffold	SPAdes v. 2021	Illumina	2019-09-24T16:27:03.550	481729	440410	25802	58613
GCA_024611175.1	488310	Megaceryle torquata	Scaffold	SPAdes v. 2021	Illumina	2019-09-25T14:47:03.933	245832	199113	25780	65212
GCA_027564115.1	390721	Ceyx argentatus	Scaffold	SPAdes v. 2021	Illumina	2019-06-30T10:41:03.926	150556	117399	24334	60694
GCA_024605025.1	463374	Megaceryle maxima	Scaffold	SPAdes v. 2021	Illumina	2019-09-25T14:40:04.193	227457	180495	24088	61611
GCA_024611195.1	325326	Ceyx melanurus	Scaffold	SPAdes v. 2021	Illumina	2019-09-26T13:32:06.470	189081	154787	22257	50684
GCA_025762695.1	325341	Merops pusillus	Scaffold	SPAdes v. 2021	Illumina	2019-09-25T14:18:04.353	92368	54819	21654	56230
GCA_025773905.1	112163	Chitala chitala	Scaffold	SOAPdenovo v. 2020	Illumina	2019-06-07T10:55:04.166	71652	49463	19667	39028
GCA_033439905.1	325335	Ceryle rudis	Scaffold	SPAdes v. 2020	Illumina	2019-09-26T13:36:10.100	241963	187344	19496	54687
GCA_027560355.1	2231448	Halcyon chelicuti	Scaffold	SPAdes v. 2021	Illumina	2019-09-24T16:16:02.990	273952	218991	19347	57284
GCA_025447755.1	2231443	Corythornis vintsioides	Scaffold	SPAdes v. 2021	Illumina	2019-07-04T13:34:03.516	185614	141076	18736	55943
GCA_010014965.2	311890	Pyrrhura griseipectus	Scaffold	SPAdes v. 2021	Illumina	2019-12-30T07:35:06.920	217929	172420	18668	31116
GCA_027560095.1	342360	Chloroceryle inda	Scaffold	SPAdes v. 2021	Illumina	2019-09-26T12:34:04.193	251830	194927	18154	54193
GCA_026780185.1	112156	Myomyrus macrops	Scaffold	SOAPdenovo v. 2020	Illumina	2017-12-20T15:31:03.540	81928	26308	18076	25443471
GCA_028565255.1	488309	Megaceryle alcyon	Scaffold	SPAdes v. 2021	Illumina	2019-09-25T14:44:03.703	138197	71603	17586	55958
GCA_027560035.1	860587	Ceyx erithaca	Scaffold	SPAdes v. 2021	Illumina	2019-09-26T14:00:26.526	261858	218077	16820	49189
GCA_033439885.1	390728	Alcedo semitorquata	Scaffold	SPAdes v. 2019	Illumina	2019-09-25T15:57:03.676	269928	220970	16034	48437
GCA_009823435.2	13180	Nymphicus hollandicus	Scaffold	SPAdes v. 2021	Illumina	2018-07-04T08:00:08.166	281693	211548	15887	30412
GCA_033439865.1	325338	Alcedo quadribrachys	Scaffold	SPAdes v. 2020	Illumina	2019-09-25T15:48:04.196	281473	226261	14460	49465
GCA_024611155.1	85095	Corythornis cristatus	Scaffold	SPAdes v. 2021	Illumina	2019-09-26T12:42:04.116	270499	216353	14199	47285
GCA_025802355.1	2231442	Corythornis madagascariensis	Scaffold	SPAdes v. 2022	Illumina	2019-07-04T09:02:04.103	189792	129395	13438	48023
GCA_027559835.1	342359	Ispidina lecontei	Scaffold	SPAdes v. 2021	Illumina	2019-09-26T13:51:04.350	356761	297905	13278	48117
GCA_027564255.1	1977158	Corythornis leucogaster	Scaffold	SPAdes v. 2021	Illumina	2019-09-26T12:21:03.070	398472	334780	12740	49458
GCA_025447775.1	2231426	Ceyx margarethae	Scaffold	SPAdes v. 2021	Illumina	2019-07-03T15:33:20.756	238274	171719	12525	48913
GCA_033439845.1	2577023	Ispidina picta	Scaffold	SOAPdenovo v. 2019; AllPaths v. 2019	Illumina	2019-09-24T16:20:04.383	313959	238936	10981	47829
GCA_010014945.2	161585	Syngnathus floridae	Scaffold	SPAdes v. 2021	Illumina	2018-07-18T09:16:02.820	120191	50763	4199	13745574
GCA_009867235.2	57247	Psittacus erithacus	Scaffold	SPAdes v. 2021	Illumina	2019-06-29T21:02:03.583	204794	186631	36805	47111
GCA_011763455.2	311897	Pyrrhura perlata	Scaffold	SPAdes v. 2021	Illumina	2018-07-17T16:07:03.790	156043	129065	24004	33872
GCA_009936485.2	42648	Gymnarchus niloticus	Scaffold	SPAdes v. 2021	Illumina	2017-12-20T13:26:03.130	53077	23547	23832	17055376
GCA_010014865.2	211511	Pyrrhura frontalis	Scaffold	SPAdes v. 2021	Illumina	2018-07-17T15:52:02.966	172768	142964	22382	32340
GCA_011763355.2	311895	Pyrrhura molinae	Scaffold	SPAdes v. 2021	Illumina	2018-07-17T15:56:03.526	183844	147126	20903	31704
GCA_026284825.2	2338438	Pyrrhura hoematotis	Scaffold	SPAdes v. 2023	Illumina	2021-10-06T14:10:09.756	213884	167982	19408	29691
GCA_025770055.1	109276	Hippocampus barbouri	Scaffold	SPAdes v. 2020	Illumina	2016-07-15T15:32:02.930	59127	21170	18901	20742455
GCA_016545565.2	311901	Pyrrhura cruentata	Scaffold	SPAdes v. 2021	Illumina	2018-07-17T16:08:03.263	203520	159374	18748	29419
GCA_011763525.2	2303995	Mormyrus iriodes	Scaffold	SOAPdenovo v. 2020	Illumina	2019-05-14T23:21:34.663	84942	28705	18324	25450324
GCA_026284765.1	211510	Thectocercus acuticaudatus	Scaffold	SPAdes v. 2021	Illumina	2021-03-27T16:01:16.553	278964	232549	17915	28824
GCA_011763535.2	176024	Eclectus roratus	Scaffold	SPAdes v. 2021	Illumina	2019-03-25T13:33:03.903	209283	148194	17249	28643
GCA_026283785.1	176022	Coracopsis vasa	Scaffold	SPAdes v. 2022	Illumina	2021-04-03T18:03:17.856	573666	500983	16954	28510
GCA_015163975.2	311896	Pyrrhura lepida	Scaffold	SPAdes v. 2021	Illumina	2018-07-17T15:58:02.726	300917	241227	16602	27753
GCA_028565775.1	2506765	Sternarchorhynchus goeldii	Scaffold	SPAdes v. 2021	Illumina	2019-06-07T11:04:03.160	63970	21137	15894	19157053
GCA_011317185.2	492513	Eupsittula pertinax	Scaffold	SPAdes v. 2021	Illumina	2019-12-19T13:46:04.210	140675	98629	15826	26712
GCA_019206885.2	111840	Microtus richardsoni	Scaffold	SPAdes v. 2021	Illumina	2018-12-09T15:40:03.773	171772	2586	14581	59085254
GCA_026284665.2	51908	Aratinga nenday	Scaffold	SPAdes v. 2023	Illumina	2021-03-27T16:01:16.380	157087	103447	14437	25533
GCA_026776745.1	89589	Genyomyrus donnyi	Scaffold	SOAPdenovo v. 2020	Illumina	2019-03-27T14:40:04.593	121110	33213	11722	25165373
GCA_015163995.2	2364103	Mormyrus lacerda	Scaffold	SPAdes v. 2021	Illumina	2019-06-07T13:52:04.210	122033	33244	11424	25984154
GCA_015164015.2	1194723	Brevimyrus niger	Scaffold	SPAdes v. 2021	Illumina	2019-03-12T19:15:03.673	129997	29984	10294	25260205
GCA_025775045.1	466964	Hiodon tergisus	Scaffold	SOAPdenovo v. 2020	Illumina	2019-06-07T10:47:03.950	134585	74562	9107	22986
GCA_026284845.1	178890	Orthopsittaca manilatus	Scaffold	SPAdes v. 2021	Illumina	2021-05-30T19:22:24.523	252633	143864	8287	21161
