Accession	tTax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Number_Scaffolds	Scaffold_N50	Scaffold_N90	Assembly_Size	Percentage_masked	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_024166365.1	99487	2022-07-06	190	87987108	17331029	64	127432672	79875053	3401247148	48.16	Elephas maximus indicus	Sarcopterygii	Mammalia			Afrotheria	Proboscidea	PacBio HiFi
GCA_030014295.1	9785	2023-05-16	1111	82653632	4903835	880	119600562	50538043	3540893228	48.95	Loxodonta africana	Sarcopterygii	Mammalia			Afrotheria	Proboscidea	PacBio HiFi
GCA_028571685.1	77598	2023-02-10	338	78495281	15246687	62	139648372	82589527	3488059404	45.42	Heterohyrax brucei	Sarcopterygii	Mammalia			Afrotheria	Hyracoidea	PacBio HiFi
GCA_030035585.1	29137	2023-05-18	294	57632671	18668298	198	140670990	79538652	3158488110	46.88	Dugong dugon	Sarcopterygii	Mammalia			Afrotheria	Sirenia	PacBio HiFi
GCA_043290085.1	320637	2024-10-17	1239	13617243	3381140	469	521973465	272513454	5620370870	63.87	Rhynchocyon petersi	Sarcopterygii	Mammalia			Afrotheria	Macroscelidea	PacBio HiFi
GCA_023851605.1	48850	2022-06-22	1162	9869167	2133164	201	174634624	61570381	3205741135	40.16	Tamandua tetradactyla	Sarcopterygii	Mammalia			Xenarthra	Pilosa	PacBio CLR
GCA_015220235.1	27675	2020-11-03	1386	20994632	1369508	146	146178362	55058534	3214702604	40.95	Choloepus didactylus	Sarcopterygii	Mammalia			Xenarthra	Pilosa	PacBio CLR
GCA_030445035.2	9361	2023-07-13	1339	13963394	1789652	546	127081865	54705911	3610552089	43.12	Dasypus novemcinctus	Sarcopterygii	Mammalia			Xenarthra	Cingulata	PacBio HiFi
GCA_009914755.4	9606	2022-01-24	25	150617247	80542538	25	150617247	80542538	3117292070	40.27	Homo sapiens	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_028858775.2	9598	2024-01-08	30	146288486	88264940	25	146288486	90695042	3177739762	41.68	Pan troglodytes	Sarcopterygii	Mammalia			Euarchontoglires	Primates	Oxford Nanopore
GCA_029289425.2	9597	2024-01-08	36	147028407	91859929	30	147028407	91859929	3244888708	42.65	Pan paniscus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	Oxford Nanopore
GCA_029281585.3	9595	2024-08-01	28	150804130	107915467	26	150804130	107915467	3545850631	47.26	Gorilla gorilla gorilla	Sarcopterygii	Mammalia			Euarchontoglires	Primates	Oxford Nanopore
