Accession	Tax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Number_Scaffolds	Scaffold_N50	Scaffold_N90	Assembly_Size	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_004023785.1	210652	2019-01-15	316874	180702	24246	312364	236501	29071	2448211634	Mungos mungo	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023805.1	9690	2019-01-15	460121	62836	12534	438792	116574	19082	2504534411	Panthera onca	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023825.1	494514	2019-01-15	1272949	73976	399	1263345	102053	399	2688561625	Vulpes lagopus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023845.1	210647	2019-01-15	200185	113567	21292	189370	179119	30631	2392471390	Helogale parvula	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023865.1	9716	2019-01-15	330739	52833	11549	321256	64640	13356	2407319723	Mirounga angustirostris	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023885.1	94188	2019-01-15	470371	128639	18104	464036	173473	21936	2458846334	Cryptoprocta ferox	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023905.1	37032	2019-01-15	354021	148487	16506	349868	186735	18723	2471813441	Suricata suricatta	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023925.1	61379	2019-01-15	603600	16007	2852	590124	18631	2854	2428424918	Felis nigripes	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023945.1	95912	2019-01-15	362072	51677	11070	350223	66490	13194	2445474026	Hyaena hyaena	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023965.1	30551	2019-01-15	433831	63054	9964	422009	85970	11924	2463318012	Spilogale gracilis	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024565.1	9704	2019-01-15	582272	90567	13677	571996	132377	17339	2519860747	Zalophus californianus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024585.1	71117	2019-01-15	442658	62870	4044	438125	71823	4045	2477229103	Paradoxurus hermaphroditus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024605.1	9672	2019-01-15	652159	90879	7834	644728	119023	8509	2602275310	Pteronura brasiliensis	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024625.1	9664	2019-01-15	2074823	50213	326	2068312	59143	326	3091173380	Mellivora capensis	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024645.1	47180	2019-01-15	451546	60596	7874	440879	79947	8887	2340865962	Mirza coquereli	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004024665.1	9447	2019-01-15	580026	158439	7231	575427	215715	7504	2298449872	Lemur catta	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004024685.1	323379	2019-01-15	1278525	30710	399	1269643	36811	399	2346418196	Dipodomys stephensi	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004024705.2	68415	2019-07-15	1195517	34785	831	1072499	11728851	949	3069608437	Moschus moschiferus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004024725.1	9460	2019-01-15	555280	90923	9582	547751	118572	11031	2393092913	Cheirogaleus medius	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
