Accession	Complete_compleasm	Single_compleasm	Duplicated_compleasm	Fragmented_compleasm	Missing_compleasm	Frameshift_compleasm	Tax_ID	Submission_Date	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_024166365.1	3352	3330	22	0	2	76	99487	2022-07-06	Elephas maximus indicus	Sarcopterygii	Mammalia			Afrotheria	Proboscidea	PacBio HiFi
GCA_030014295.1	3352	3334	18	0	2	82	9785	2023-05-16	Loxodonta africana	Sarcopterygii	Mammalia			Afrotheria	Proboscidea	PacBio HiFi
GCA_028571685.1	3352	3338	14	2	0	74	77598	2023-02-10	Heterohyrax brucei	Sarcopterygii	Mammalia			Afrotheria	Hyracoidea	PacBio HiFi
GCA_030035585.1	3354	3340	14	0	0	82	29137	2023-05-18	Dugong dugon	Sarcopterygii	Mammalia			Afrotheria	Sirenia	PacBio HiFi
GCA_043290085.1	3345	3281	64	1	8	94	320637	2024-10-17	Rhynchocyon petersi	Sarcopterygii	Mammalia			Afrotheria	Macroscelidea	PacBio HiFi
GCA_023851605.1	3346	3176	170	5	3	124	48850	2022-06-22	Tamandua tetradactyla	Sarcopterygii	Mammalia			Xenarthra	Pilosa	PacBio CLR
GCA_015220235.1	3338	3121	217	8	8	173	27675	2020-11-03	Choloepus didactylus	Sarcopterygii	Mammalia			Xenarthra	Pilosa	PacBio CLR
GCA_030445035.2	3333	3251	82	4	17	150	9361	2023-07-13	Dasypus novemcinctus	Sarcopterygii	Mammalia			Xenarthra	Cingulata	PacBio HiFi
GCA_009914755.4	3354	3310	44	0	0	102	9606	2022-01-24	Homo sapiens	Sarcopterygii	Mammalia			Euarchontoglires	Primates	T2T
GCA_028858775.2	3354	3305	49	0	0	97	9598	2024-01-08	Pan troglodytes	Sarcopterygii	Mammalia			Euarchontoglires	Primates	T2T
GCA_029289425.2	3354	3309	45	0	0	103	9597	2024-01-08	Pan paniscus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	T2T
GCA_029281585.3	3354	3304	50	0	0	92	9595	2024-08-01	Gorilla gorilla gorilla	Sarcopterygii	Mammalia			Euarchontoglires	Primates	T2T
GCA_028885655.2	3354	3312	42	0	0	96	9601	2024-01-05	Pongo abelii	Sarcopterygii	Mammalia			Euarchontoglires	Primates	T2T
GCA_028885625.2	3354	3309	45	0	0	94	9600	2024-01-08	Pongo pygmaeus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	T2T
GCA_028878055.3	3353	3300	53	1	0	92	9590	2024-06-20	Symphalangus syndactylus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	T2T
GCA_043159975.1	3305	3247	58	6	43	99	9545	2024-10-15	Macaca nemestrina	Sarcopterygii	Mammalia			Euarchontoglires	Primates	PacBio HiFi
GCA_011100555.2	3347	3254	93	4	3	124	9483	2021-04-28	Callithrix jacchus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	PacBio CLR
GCA_027406575.1	3353	3181	172	1	0	100	9470	2022-12-28	Nycticebus coucang	Sarcopterygii	Mammalia			Euarchontoglires	Primates	PacBio HiFi
GCA_020740605.1	3341	3300	41	1	12	98	9447	2021-11-04	Lemur catta	Sarcopterygii	Mammalia			Euarchontoglires	Primates	PacBio HiFi
GCA_027409185.1	3351	3286	65	0	3	105	110931	2022-12-28	Cynocephalus volans	Sarcopterygii	Mammalia			Euarchontoglires	Dermoptera	PacBio HiFi
GCA_028451465.1	3352	3285	67	2	0	101	34844	2023-02-06	Erethizon dorsatum	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_963383645.1	3350	3299	51	1	2	93	39082	2023-08-26	Muscardinus avellanarius	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_902686455.2	3351	3170	181	3	0	220	55149	2020-07-31	Sciurus vulgaris	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_902686445.2	3353	3279	74	1	0	226	30640	2020-07-31	Sciurus carolinensis	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_964194105.1	3350	3248	102	4	0	101	9997	2024-06-28	Spermophilus citellus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_903995435.1	3344	3315	29	5	5	118	60746	2020-08-21	Acomys russatus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_947179515.1	3348	3318	30	2	4	106	10129	2022-10-28	Apodemus sylvaticus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_011762505.2	3343	3282	61	3	8	103	61156	2024-10-22	Arvicanthis niloticus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_015227675.2	3350	3283	67	1	3	111	10116	2020-11-10	Rattus norvegicus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_963924665.1	3274	3194	80	7	73	110	13151	2024-01-29	Micromys minutus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_949316315.1	3346	3253	93	4	4	108	10090	2023-04-08	Mus musculus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_903995425.1	3307	3286	21	25	22	136	38674	2020-08-21	Onychomys torridus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_903992535.2	3345	3284	61	3	6	205	1047088	2021-05-15	Arvicola amphibius	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_950005125.1	3350	3265	85	0	4	95	269649	2023-05-01	Chionomys nivalis	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_037038515.1	3348	3285	63	3	3	89	10058	2024-03-06	Microtus pennsylvanicus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_026229955.1	3309	3199	110	3	42	92	372063	2022-11-14	Peromyscus maniculatus sonoriensis	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_020740685.1	3333	3195	138	10	11	108	51337	2021-11-04	Jaculus jaculus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_031878675.1	3331	3253	78	5	18	102	10013	2023-09-25	Thomomys bottae	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_949820135.1	3347	3313	34	3	4	119	9988	2023-04-19	Sylvilagus floridanus	Sarcopterygii	Mammalia			Euarchontoglires	Lagomorpha	PacBio HiFi
GCA_964237555.1	3348	3257	91	2	4	114	9986	2024-08-31	Oryctolagus cuniculus	Sarcopterygii	Mammalia			Euarchontoglires	Lagomorpha	PacBio HiFi
GCA_030435755.1	3342	3285	57	1	11	101	9978	2023-07-13	Ochotona princeps	Sarcopterygii	Mammalia			Euarchontoglires	Lagomorpha	PacBio HiFi
GCA_026018925.1	3349	3224	125	4	1	175	70687	2022-11-07	Tupaia tana	Sarcopterygii	Mammalia			Euarchontoglires	Scandentia	PacBio CLR
