Accession	Complete_BUSCOs	Single_copy_BUSCOs	Duplicate_BUSCOs	Fragmented_BUSCOs	Missing_BUSCOs	Internal_stop_codons	Tax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Assembly_Size	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_004023785.1							210652	2019-01-15	316874	180702	24246	2447760634	Mungos mungo	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023805.1							9690	2019-01-15	460121	62836	12534	2502401511	Panthera onca	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023825.1							494514	2019-01-15	1272949	73976	399	2687601225	Vulpes lagopus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023845.1							210647	2019-01-15	200185	113567	21292	2391389890	Helogale parvula	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023865.1							9716	2019-01-15	330739	52833	11549	2406371423	Mirounga angustirostris	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023885.1							94188	2019-01-15	470371	128639	18104	2458212834	Cryptoprocta ferox	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023905.1							37032	2019-01-15	354021	148487	16506	2471398141	Suricata suricatta	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023925.1							61379	2019-01-15	603600	16007	2852	2427077318	Felis nigripes	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023945.1							95912	2019-01-15	362072	51677	11070	2444289126	Hyaena hyaena	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023965.1							30551	2019-01-15	433831	63054	9964	2462135812	Spilogale gracilis	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024565.1							9704	2019-01-15	582272	90567	13677	2518833147	Zalophus californianus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024585.1							71117	2019-01-15	442658	62870	4044	2476775803	Paradoxurus hermaphroditus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024605.1							9672	2019-01-15	652159	90879	7834	2601532210	Pteronura brasiliensis	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024625.1							9664	2019-01-15	2074823	50213	326	3090522280	Mellivora capensis	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024645.1							47180	2019-01-15	451546	60596	7874	2339799262	Mirza coquereli	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004024665.1							9447	2019-01-15	580026	158439	7231	2297989972	Lemur catta	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004024685.1							323379	2019-01-15	1278525	30710	399	2345529996	Dipodomys stephensi	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004024705.2	3307	3141	166	34	13	289	68415	2019-07-15	1195517	34785	831	2964378037	Moschus moschiferus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004024725.1							9460	2019-01-15	555280	90923	9582	2392340013	Cheirogaleus medius	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004024745.2	3312	3289	23	25	17	297	51154	2019-07-15	1240743	65965	399	2592535414	Catagonus wagneri	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_004024765.1							160400	2019-01-15	1165710	23350	713	2610428839	Zapus hudsonius	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004024785.1							9509	2019-01-15	878490	59033	2009	2896092411	Ateles geoffroyi	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004024805.1							234690	2019-01-15	587115	64054	4915	2600443904	Xerus inauris	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_004024825.1							54133	2019-01-15	1445731	51434	500	3215686231	Pygathrix nemaeus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004024845.1							2683044	2019-01-15	252670	141649	20053	2105600965	Tonatia bakeri	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004024865.1							9407	2019-01-15	226086	100260	11726	1971698731	Rousettus aegyptiacus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_004024885.1							9491	2019-01-15	1675070	53787	486	3492829786	Saguinus imperator	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004024905.1							9802	2019-01-15	284468	225792	39968	2424769811	Tapirus indicus	Sarcopterygii	Mammalia			Laurasiatheria	Perissodactyla	missing
GCA_004024925.1							71119	2019-01-15	647535	72421	3535	2068147157	Scalopus aquaticus	Sarcopterygii	Mammalia			Laurasiatheria	Eulipotyphla	missing
GCA_004024945.1							182669	2019-01-15	732083	43618	1245	2111885247	Uropsilus gracilis	Sarcopterygii	Mammalia			Laurasiatheria	Eulipotyphla	missing
