Accession	Tax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Assembly_Size	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_000516915.1	8665	2013-12-11	1332879	2943	506	1378912207	Ophiophagus hannah	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_000737285.1	384069	2014-08-01	636898	3822	781	1123660727	Crotalus pyrrhus	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_001625485.2	35024	2024-11-01	5719	2255360	305138	1574169046	Crotalus horridus	Sarcopterygii	Lepidosauria				Squamata	Oxford Nanopore
GCA_003113815.1	8508	2018-05-10	350823	21082	4804	3849631520	Sphenodon punctatus	Sarcopterygii	Lepidosauria				Sphenodontia	missing
GCA_003118565.2	143630	2021-09-14	118732	21198	5563	1420206524	Paroedura picta	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_003400415.2	8742	2019-01-08	219946	9980	2554	1257484766	Crotalus viridis viridis	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_003402635.1	88087	2018-08-02	231088	17042	3528	1367649128	Protobothrops flavoviridis	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_003457575.1	527827	2018-09-05	195470	16788	4346	1608526356	Thermophis baileyi	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_003586115.2	96440	2018-12-11	23137	370220	58571	2033833041	Salvator merianae	Sarcopterygii	Lepidosauria				Squamata	PacBio RSII
GCA_004319985.1	34996	2019-01-09	281190	15512	3289	1624260488	Emydocephalus ijimae	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_004320005.1	34990	2019-02-13	313421	7234	1806	1254859633	Hydrophis melanocephalus	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_004320025.1	8630	2019-01-09	180051	16151	4546	1558442497	Laticauda laticaudata	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_009733165.1	35670	2019-12-11	13807	302078	49788	1658862854	Naja naja	Sarcopterygii	Lepidosauria				Squamata	Oxford Nanopore
GCA_012654045.1	31142	2020-04-22	99818	41154	7871	1664294496	Ptyas mucosa	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_012654085.1	39099	2020-04-22	118816	38205	6443	1635629544	Pantherophis obsoletus	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_014337955.1	403789	2020-08-31	170666	17774	5025	1546582450	Aspidoscelis marmoratus	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_015471245.1	8628	2020-11-04	105298	38278	9301	1857854971	Laticauda colubrina	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_016801065.1	190870	2021-02-04	46009	91782	20510	1782063287	Sceloporus tristichus	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_017656035.1	2777982	2021-04-01	311047	7005	1916	1315220932	Myanophis thanlyinensis	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_018340635.1	8724	2021-05-11	28754	162550	25198	1671135838	Bothrops jararaca	Sarcopterygii	Lepidosauria				Squamata	PacBio RSII
GCA_019457695.2	1296673	2023-08-10	1163184	1484	552	1333285553	Chrysopelea ornata	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_019473425.1	8686	2021-08-09	2399	18985681	898557	1980417238	Hydrophis cyanocinctus	Sarcopterygii	Lepidosauria				Squamata	PacBio CLR
GCA_020142125.1	52577	2021-09-27	263610	12043	3390	1872493838	Phrynosoma platyrhinos	Sarcopterygii	Lepidosauria				Squamata	missing
GCA_020711275.1	48253	2021-11-02	1818025	1066	336	1334023404	Calotes versicolor	Sarcopterygii	Lepidosauria				Squamata	missing
