Accession	Tax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Assembly_Size	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCF_027475565.1	32536	2022-12-28	217	96827784	40647340	2377412951	Acinonyx jubatus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_029890205.1	10068	2023-05-01	123	55022522	18485260	2270837406	Acomys cahirinus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	Oxford Nanopore
GCA_907164435.1	60744	2021-07-06	127573	33040	9138	2258756971	Acomys dimidiatus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_907164505.1	83762	2021-07-06	109600	33625	10162	2123074979	Acomys kempi	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_964271855.1	83528	2024-10-03	297	29281624	4689856	2350217440	Acomys minous	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi
GCA_907169655.1	83527	2021-07-06	160804	26477	7193	2235673741	Acomys percivali	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCF_903995435.1	60746	2020-08-21	1503	4450755	1138841	2293568115	Acomys russatus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR
GCA_044231825.1	59515	2024-11-01	2784	55418445	3021624	2846190944	Addax nasomaculatus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	Oxford Nanopore
GCA_011751065.3	257879	2024-10-08	37680	120503	30431	2106622620	Aeorestes cinereus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCA_006408695.1	9897	2019-06-24	115374	50987	12159	2599373761	Aepyceros melampus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCF_002007445.2	9646	2020-04-20	262791	45556	6285	2393442957	Ailuropoda melanoleuca	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_002007465.1	424585	2017-02-28	148922	43124	10513	2308901297	Ailurus styani	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_006408545.1	59517	2019-06-24	1260569	878	363	885615452	Alcelaphus buselaphus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_964270355.1	9852	2024-09-28	1737	43164142	8015899	2545526971	Alces alces	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	Oxford Nanopore
GCF_014885135.2	100897	2020-10-13	77578	60797	14861	2092940738	Alexandromys fortis	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_963919705.1	2162900	2023-12-20	268	60754688	17620822	2189948272	Alexandromys oeconomus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing
GCA_963574245.1	54135	2023-11-03	137500	45079	10630	2754534513	Allenopithecus nigroviridis	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_963574325.1	100224	2023-11-02	141590	41249	10284	2731212703	Allochrocebus lhoesti	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_963574925.1	147649	2023-11-03	151224	39109	9504	2738205131	Allochrocebus preussi	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_963575195.1	147650	2023-11-03	176271	32978	7805	2749374520	Allochrocebus solatus	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_963574145.1	30590	2023-11-02	173738	34358	7544	2633659799	Alouatta belzebul	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_963575295.1	9502	2023-11-02	183461	32391	7019	2646370501	Alouatta caraya	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_963575205.1	2905217	2023-11-02	184026	32228	7012	2631921805	Alouatta discolor	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_963574365.1	2946512	2023-11-02	174494	31292	7409	2620341107	Alouatta juara	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_963573945.1	198115	2023-11-02	192579	29721	6535	2632242010	Alouatta macconnelli	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004027835.1	30589	2019-01-16	1152695	51304	975	3032004595	Alouatta palliata	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_963574235.1	1347729	2023-11-02	174377	31884	7382	2627397219	Alouatta seniculus puruensis	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
GCA_004027475.1	27642	2019-01-16	341895	143417	19350	2206125520	Anoura caudifer	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing
GCF_016432865.1	38775	2021-01-06	1106	51843704	9845607	3192352297	Antechinus flavipes	Sarcopterygii	Mammalia				Dasyuromorphia	missing
GCA_016696395.1	9283	2021-01-15	106199	77883	18656	3216561012	Antechinus stuartii	Sarcopterygii	Mammalia				Dasyuromorphia	missing
GCA_006408585.1	59523	2019-06-24	585510	10305	2201	2807021431	Antidorcas marsupialis	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_007570785.1	9891	2019-07-12	48446	220431	42369	2459503476	Antilocapra americana	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	missing
GCA_027563665.1	9440	2023-01-09	327	41887785	6204840	2120575367	Antrozous pallidus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	PacBio CLR
