752182	species	Hyperolius riggenbachi	GCA_040937935.1	Anura	4915935452	2674826	451034413	3516	477	12	45	GCA_040937895.1	primary	primary	PRJNA1129093;PRJNA1137929;PRJNA489243;PRJNA533106	Chromosome	2024-07-30
8296	species	Ambystoma mexicanum	GCA_040938575.1	Caudata	29117848270	23068610	1489131749	2315	220	21	46.5		primary	primary	PRJNA1104202;PRJNA1168523	Chromosome	2024-07-30
233779	species	Spea bombifrons	GCA_027358695.2	Anura	987655159	21170366	114150385	119	17	13	40.5	GCA_027382365.2	primary	primary	PRJNA489243;PRJNA533106;PRJNA838345;PRJNA915367	Chromosome	2022-12-27
8319	species	Pleurodeles waltl	GCA_031143425.1	Caudata	19767450834	20474000	1360680797	2445	616	16	46	GCA_031142525.1,GCA_026652325.1	primary	primary	PRJNA1001912;PRJNA990737	Chromosome	2024-03-19
8351	species	Discoglossus pictus	GCA_027410445.1	Anura	3872581802	3043591	453717995	4998	1317	14	39.5	GCA_027410455.1	primary	primary	PRJNA489243;PRJNA533106;PRJNA912129;PRJNA915386	Chromosome	2022-12-28
8345	species	Bombina bombina	GCA_027579735.1	Anura	10019663791	3759931	1241340601	9446	2467	12	39	GCA_027579415.1	primary	primary	PRJNA489243;PRJNA533106;PRJNA915412;PRJNA922148	Chromosome	2023-01-09
150705	species	Dendropsophus ebraccatus	GCA_027789765.1	Anura	2214937069	8808153	153439414	3003	2200	15	44	GCA_027789725.1	primary	primary	PRJNA489243;PRJNA533106;PRJNA910819;PRJNA922582	Chromosome	2023-01-13
8429	species	Gastrophryne carolinensis	GCA_027917425.1	Anura	4336248441	4962642	489283037	2747	1002	11	47	GCA_027917415.1	primary	primary	PRJNA489243;PRJNA533106;PRJNA916748;PRJNA923362	Chromosome	2023-01-18
327740	species	Hyla sarda	GCA_029499605.1	Anura	4142159359	3809262	384967061	5771	3474	13	44	GCA_029493135.1	primary	primary	PRJNA489243;PRJNA533106;PRJNA921707;PRJNA945447	Chromosome	2023-04-07
238119	species	Leptodactylus fuscus	GCA_031893025.1	Anura	2307711212	5565655	228259793	3239	2266	11	43	GCA_031893055.1	primary	primary	PRJNA1007263;PRJNA1008724;PRJNA489243;PRJNA533106	Chromosome	2023-09-26
111125	species	Ranitomeya imitator	GCA_032444005.1	Anura	5956610564	13907627	725832262	2437	1672	10	45	GCA_032442605.1	primary	primary	PRJNA1013386;PRJNA1023201	Chromosome	2023-10-16
57060	species	Eleutherodactylus coqui	GCA_035609145.1	Anura	3371297528	10388966	277440397	1615	956	13	45	GCA_035609135.1	primary	primary	PRJNA1057919;PRJNA1061194;PRJNA489243;PRJNA533106	Chromosome	2024-01-12
